scanner name,type,TCP port count,UDP port count,observed days,reference
Modat ,Threat Intelligence service,10606,6,90,https://www.modat.io/scanning
Palo Alto Networks (Cortex-Xpanse),Threat Intelligence service,19516,130,90,https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity
Censys,Threat Intelligence service,65535,65535,90,https://docs.censys.com/docs/internet-scanning
Shadowserver,Threat Intelligence service,291,56,90,https://www.shadowserver.org/what-we-do/data-collection/
Stretchoid, - ,306,64,90,https://stretchoid.com/
NOKIA (Deepfield),DDoS Detection service,955,45,88,https://www.nokia.com/genomecrawler/
driftnet (internet-measurement.com),Threat Intelligence service,65535,65535,90,https://internet-measurement.com/
Shodan,Threat Intelligence service,65486,82,90,https://www.shodan.io/
Onyphe,Threat Intelligence service,4009,42,90,https://smith.probe.onyphe.net/
VisionHeight,Threat Intelligence service,213,0,67,https://www.visionheight.com/scan
Academy for Internet Research, - ,1491,0,90,https://academyforinternetresearch.org/
CriminalIP,Threat Intelligence service,3094,473,85,https://www.criminalip.io/
The Recyber Project, - ,7863,0,90, - 
bitsight,Security evaluation service,355,38,90,https://www.internet-census.org/
NETSCOUT (Arbor),Threat Intelligence service,5,71,90,https://www.internet-albedo.net/
ICT-ISAC,Survey and warning,250,0,48,https://www.ict-isac.jp/news/news20231115.html
Binaryedge,Threat Intelligence service,628,17,90,https://docs.binaryedge.io/SEv2/blocking/
F6,Threat Intelligence service,4057,0,90,https://scan.f6.security/
ipip,IP geolocation service,25,4,90,https://en.ipip.net/about.html
Rapid7 (Project Sonar),Threat Intelligence service,148,22,45,https://www.rapid7.com/research/project-sonar/
Qrator (Qrator.Radar),Threat Intelligence service,5,15,90,https://radar.qrator.net/learn/18?article=37
A Recorded Future (Securitytrails),Threat Intelligence service,233,0,90,https://securitytrails.com/
Ruhr University Bochum,Research,8,3,90,https://softsec.science/
GROUP-IB,Attack Surface Management service,110,0,90,https://www.group-ib.com/products/attack-surface-management/
bufferover.run,TLS certificate information service,428,0,90,https://newtls.bufferover.run/
Limes Security (Alpha Strike Labs),Threat Intelligence service,105,62,90,https://www.alphastrike.io/
SBA Research, - ,0,0,90,https://www.sba-research.org/
Edgewatch,Threat Intelligence service,2081,0,47,https://edgewatch.com/
UpGuard (CyberResilience),Research,12,2,90,https://cyberresilience.io/cyberresilience
BarkScan,Threat Intelligence service,30,0,35,https://barkscan.com/about
Yokohama National University,Research,27,1,81,http://133.34.169.31/
FR Cert,Survey and warning,1043,4,80,https://www.cert.ssi.gouv.fr/scans/
Intrinsec,Threat Intelligence service,8,0,90,https://www.intrinsec.com/
Adscore,Traffic Detection service,0,2,90,https://www.adscore.com/
Georgia Institute of Technology, - ,45,1,90,https://scp.cc.gatech.edu/
Max Planck Institute,Research,4,0,90,https://inet-research-scan-1.mpi-inf.mpg.de/
DomainTools,Threat Intelligence service,1,0,90,https://www.domaintools.com/
