scanner name,type,TCP port count,UDP port count,observed days,reference
Censys,Threat Intelligence service,65535,65535,91,https://support.censys.io/hc/en-us/articles/360043177092-Opt-Out-of-Data-Collection
Palo Alto Networks (Cortex-Xpanse),Threat Intelligence service,19514,111,91,https://www.paloaltonetworks.com/cortex/cortex-xpanse
Stretchoid, - ,302,64,91,https://stretchoid.com/
Shadowserver,Threat Intelligence service,228,41,91,https://www.shadowserver.org/
Modat ,Threat Intelligence service,3652,4,91,https://www.modat.io/scanning
driftnet (internet-measurement.com),Threat Intelligence service,65535,30,91,https://internet-measurement.com/
Academy for Internet Research, - ,1491,1,90,https://academyforinternetresearch.org/
Shodan,Threat Intelligence service,3850,80,91,https://www.shodan.io/
NOKIA (Deepfield),DDoS Detection service,876,45,91,https://www.nokia.com/genomecrawler/
CYPEX,Threat Intelligence service,922,0,91,https://cypex.ai/
CriminalIP,Threat Intelligence service,7497,67,91,https://www.criminalip.io/
Onyphe,Threat Intelligence service,65536,26,91,https://www.onyphe.io/
The Recyber Project, - ,65536,0,91,https://www.recyber.net/
bitsight,Security evaluation service,337,38,91,https://www.internet-census.org/
ICT-ISAC,Survey and warning,234,0,47,https://www.ict-isac.jp/news/news20231115.html
Binaryedge,Threat Intelligence service,17377,8,91,https://docs.binaryedge.io/SEv2/blocking/
NETSCOUT (Arbor),Threat Intelligence service,5,61,91,https://www.internet-albedo.net/
A Recorded Future (Securitytrails),Threat Intelligence service,233,0,91,https://securitytrails.com/
GROUP-IB,Attack Surface Management service,110,0,91,https://www.group-ib.com/products/attack-surface-management/
bufferover.run,TLS certificate information service,421,0,91,https://newtls.bufferover.run/
ipip,Threat Intelligence service,35,3,91,https://security.ipip.net/
Rapid7 (Project Sonar),Threat Intelligence service,148,22,44,https://www.rapid7.com/research/project-sonar/
Ruhr University Bochum,Research,8,4,89,http://research-scanner-dfn89.nds.ruhr-uni-bochum.de/
Qrator (Qrator.Radar),Threat Intelligence service,6,15,91,https://radar.qrator.net/learn/18?article=37
internettl, - ,3241,140,86, - 
Limes Security (Alpha Strike Labs),Threat Intelligence service,89,55,91,https://www.alphastrike.io/
Adscore,Traffic Detection service,4,2,91,https://www.adscore.com/
Yokohama National University,Research,27,0,81,http://133.34.169.31/
FR Cert,Survey and warning,1044,3,86,https://www.cert.ssi.gouv.fr/scans/
FH Muenster,Research,38,0,90,https://fb02itsscan06.fh-muenster.de/
CyberCube,Cyber risk quantification service,25,0,72,https://www.cybcube.com/cybercube-scanning
Leakix,Threat Intelligence service,10006,0,19,https://leakix.net/about
Intrinsec,Threat Intelligence service,8,0,89,https://www.intrinsec.com/
DomainTools,Threat Intelligence service,1,0,91,https://www.domaintools.com/2
Max Planck Institute,Research,2,0,89,https://inet-research-scan-1.mpi-inf.mpg.de/
